name,height,p_profession
Milla Jovovich,172,"actress,soundtrack,producer"
Helene Joy,170,"actress,producer"
Vance Joy,194,"music_artist,soundtrack,actor"
Emily Joyce,160,actress
Jo Joyner,157,actress
Juanes,173,"music_artist,soundtrack,actor"
Ashley Judd,167,"actress,producer,director"
Wynonna Judd,165,"soundtrack,actress,producer"
James Fox,185,"actor,soundtrack"
James Fox,185,"soundtrack,actor"
James Fox,185,"writer,director,actor"
James Fox,185,"director,writer"
Jessica Fox,152,actress
Jessica Fox,152,actress
Jorja Fox,174,"actress,producer,soundtrack"
Julia Fox,161,"actress,writer"
Kerry Fox,171,"actress,writer,director"
Laurence Fox,191,"actor,soundtrack"
Matthew Fox,187,"actor,director,producer"
Matthew Fox,187,"writer,director"
Megan Fox,163,"actress,producer,writer"
Megan Fox,163,actress
Phoebe Fox,157,actress
Rick Fox,198,"actor,producer"
Samantha Fox,155,"actress,miscellaneous"
Samantha Fox,155,"soundtrack,actress,composer"
Foxes,163,"soundtrack,actress,composer"
Robert Foxworth,178,"actor,director,soundtrack"
Jamie Foxx,175,"actor,producer,writer"
Sean Hayes,180,"actor,producer,soundtrack"
Colton Haynes,174,"actor,producer"
Hattie Hayridge,171,"actress,writer"
Robert Hays,183,"actor,producer,director"
Dennis Haysbert,194,"actor,producer,soundtrack"
Kara Hayward,164,actress
Lindsay Kay Hayward,204,actress
Susan Hayward,160,"actress,soundtrack"
Rita Hayworth,168,"actress,soundtrack,producer"
Eden Hazard,171,actor
Marta Hazas,165,"actress,soundtrack"
Susan Sarandon,168,"actress,producer,soundtrack"
Rebecca Sarker,157,actress
Sunetra Sarker,163,"actress,producer,director"
Nicolas Sarkozy,166,"writer,actor"
June Sarpong,164,"producer,executive,actress"
Satyajit Ray,194,"writer,composer,director"
Sommer Ray,168,"actress,producer"
Vanessa Ray,161,"actress,soundtrack"
Vanessa Ray,161,actress
Gary Raymond,189,actor
Michael Raymond-James,173,"actor,director,producer"
Tania Raymonde,166,"actress,director,writer"
Monica Raymund,163,"actress,director,producer"
Adam Rayner,185,actor
Chris Rea,171,"music_artist,soundtrack,composer"
Stephen Rea,179,"actor,writer,soundtrack"
Ford Kiernan,173,"actor,writer,producer"
Kiesza,168,"soundtrack,actress,composer"
Rya Kihlstedt,173,"actress,director,writer"
Rinko Kikuchi,169,"actress,director,writer"
Craig Kilborn,194,"writer,actor,producer"
Ghostface Killah,188,"soundtrack,actor,music_department"
Taran Killam,184,"actor,soundtrack,writer"
Val Kilmer,182,"actor,soundtrack,producer"
Kevin Kilner,189,actor
Poppy Lee Friar,169,"actress,writer,producer"
Allen Leech,174,actor
Erica Leerhsen,174,"actress,producer"
Robert Leeshock,188,"actor,producer,writer"
Jane Leeves,177,"actress,soundtrack,miscellaneous"
Rachelle Lefevre,168,"actress,soundtrack"
John Legend,175,"music_artist,soundtrack,producer"
Dave Legeno,191,"actor,writer"
Ashley Leggat,165,actress
Natasha Leggero,150,"actress,writer,producer"
John Leguizamo,169,"actor,producer,writer"
Kristin Lehman,168,"actress,producer,director"
Fredric Lehne,175,"actor,director,writer"
Hudson Leick,172,actress
Gilles Marini,183,actor
Dan Marino,191,"actor,producer,miscellaneous"
Ken Marino,183,"actor,producer,writer"
Mario,180,"music_artist,actor,soundtrack"
Mario,180,"soundtrack,actor"
Brian Markinson,169,"actor,producer"
Ted Markland,193,actor
Meghan Markle,165,"actress,producer,writer"
Bob Marley,170,"music_artist,soundtrack,music_department"
Bob Marley,170,"writer,actor,producer"
Damian Marley,175,"soundtrack,actor,composer"
Ziggy Marley,175,"music_artist,soundtrack,music_department"
Brit Marling,172,"producer,actress,writer"
Catrinel Marlon,177,"actress,writer,director"
Hugh Marlowe,181,actor
Marc Maron,175,"actor,writer,producer"
Melody Perkins,168,actress
Sue Perkins,152,"actress,writer,producer"
Rhea Perlman,183,"actress,producer,soundtrack"
Ron Perlman,168,"actor,producer,soundtrack"
Sofia Pernas,165,actress
Pauley Perrette,166,"actress,producer,director"
Christina Perri,170,"music_artist,soundtrack,actress"
Valerie Perrine,168,actress
Aurora Perrineau,178,"actress,soundtrack,producer"
Harold Perrineau,157,"actor,producer,soundtrack"
Maite Perroni,155,"actress,soundtrack,music_department"
DomiNque Perry,175,actress
Joe Perry,170,"soundtrack,music_department,actor"
Katy Perry,159,"music_artist,soundtrack,actress"
Brandon Beemer,180,"actor,producer"
Madison Beer,163,"actress,composer,soundtrack"
Wallace Beery,182,"actor,director,soundtrack"
Max Beesley,178,"actor,soundtrack,producer"
Beetlejuice,130,actor
Zazie Beetz,166,"actress,producer,soundtrack"
Geoffrey Beevers,178,actor
Jason Beghe,175,"actor,producer"
Joy Behar,164,"actress,writer,producer"
Nicole Beharie,155,"actress,soundtrack"
Goldie,177,"actor,soundtrack,composer"
Henry Golding,183,"actor,producer"
Richard Thompson,187,"animation_department,director,miscellaneous"
Richard Thompson,187,"soundtrack,music_department,composer"
Richard Thompson,187,"writer,producer,director"
Richard Thompson,187,animation_department
Sara Thompson,157,actress
Sarah Thompson,165,"actress,soundtrack"
Scottie Thompson,170,"actress,producer"
Sophie Thompson,163,"actress,soundtrack"
Susanna Thompson,170,actress
Tara Thompson,152,actress
Tessa Thompson,161,"actress,producer,soundtrack"
Tracie Thoms,165,"actress,soundtrack,producer"
Ulrich Thomsen,178,"actor,producer,director"
Cassi Thomson,160,"actress,soundtrack"
Heather Thomson,173,actress
Heather Thomson,173,actress
John Thomson,171,"actor,writer,soundtrack"
John Thomson,171,"writer,director,actor"
Bella Thorne,168,"actress,director,soundtrack"
Jamie Waylett,185,actor
Carol Wayne,170,actress
John Wayne,192,"actor,producer,soundtrack"
Patrick Wayne,185,"actor,art_department"
Randy Wayne,178,"actor,producer,production_manager"
Jake Weary,178,"actor,soundtrack,composer"
Michael Weatherly,187,"actor,producer,director"
Shawn Weatherly,171,actress
Carl Weathers,185,"actor,director,soundtrack"
Dennis Weaver,188,"actor,soundtrack,director"
Fritz Weaver,191,actor
Jacki Weaver,151,"actress,soundtrack"
Tina Desai,165,"actress,music_department,soundtrack"
Emily Deschanel,173,"actress,producer,soundtrack"
Zooey Deschanel,164,"actress,producer,music_department"
Sarah Desjardins,163,actress
Amanda Detmer,161,actress
Zoey Deutch,161,"actress,producer,soundtrack"
Dev,165,"actor,producer,writer"
Dev,165,"soundtrack,actress,composer"
William Devane,178,"actor,writer,director"
Kaitlyn Dever,157,"actress,soundtrack,producer"
Paula Devicq,173,actress
Cari Champion,177,"actress,producer,writer"
Gemma Chan,173,"actress,producer,writer"
Jackie Chan,174,"producer,actor,stunts"
Julia Chan,165,"actress,soundtrack"
Anna Chancellor,177,"actress,sound_department"
Jeff Chandler,193,"actor,soundtrack,producer"
Kyle Chandler,184,"actor,producer,director"
Alexandra Chando,157,"actress,director,producer"
Melanie Chandra,165,"actress,producer,writer"
Charithra Chandran,157,actress
Christina Chang,171,"actress,producer"
Aaron Judge,201,actor
Anneliese Judge,165,actress
Christopher Judge,188,"actor,writer,producer"
Christopher Judge,188,actor
Tamra Judge,161,producer
Dominika Juillet,173,"actress,writer,producer"
Raul Julia,188,"actor,soundtrack"
Janet Julian,174,"actress,miscellaneous"
Alessandro Juliani,174,"actor,soundtrack,composer"
Claire Julien,160,actress
Cush Jumbo,170,"actress,producer"
Phill Jupitus,183,"actor,writer,soundtrack"
Miles Jupp,185,"actor,writer"
Katy Jurado,168,actress
Peter Jurasik,179,actor
Carla Juri,171,"actress,composer"
James Robertson Justice,188,"actor,soundtrack"
Victoria Justice,165,"actress,soundtrack,composer"
Claire Foy,163,"actress,producer"
Mackenzie Foy,157,"actress,soundtrack"
James Frain,182,actor
Jonathan Frakes,191,"actor,director,producer"
Anthony Franciosa,185,actor
Aisling Franciosi,162,"actress,soundtrack"
Anne Francis,171,"actress,soundtrack"
Arlene Francis,166,"actress,soundtrack"
Jenna Haze,157,"actress,director,producer"
Scott Haze,180,"actor,producer,writer"
Mavournee Hazel,163,actress
Sam Hazeldine,180,"actor,soundtrack,composer"
Keeley Hazell,168,"actress,writer"
Anthony Head,183,"actor,soundtrack"
Daisy Head,168,actress
Lena Headey,165,"actress,producer,director"
Heather Headley,174,"actress,soundtrack"
Glenne Headly,173,actress
Anthony Heald,170,actor
Chelsee Healey,155,actress
Fran Healy,179,"soundtrack,actor,composer"
Matthew Healy,175,"soundtrack,actor,composer"
Tim Healy,168,"actor,soundtrack,director"
Imogen Heap,183,"soundtrack,composer,actress"
Rob Heaps,183,actor
Brytni Sarpy,163,actress
Michael Sarrazin,189,actor
Peter Sarsgaard,180,"actor,producer"
Joshua Sasse,183,"actor,soundtrack"
Will Sasso,189,"actor,writer,producer"
Brooke Satchwell,165,"actress,producer"
Joe Satriani,171,"soundtrack,actor,composer"
Tania Saulnier,168,actress
Sherri Saum,170,"actress,producer"
Jennifer Saunders,163,"actress,writer,soundtrack"
Katy Louise Saunders,168,actress
Adam Savage,178,"producer,actor,visual_effects"
James Read,188,"actor,director"
Nancy Reagan,163,"actress,soundtrack"
Ronald Reagan,184,"actor,production_manager,miscellaneous"
John Reardon,185,"director,producer"
John Reardon,185,"actor,soundtrack"
Elizabeth Reaser,161,actress
Diona Reasonover,167,"actress,writer,camera_department"
James Rebhorn,191,actor
Peter Reckell,180,"actor,soundtrack"
Lance Reddick,189,"actor,producer,soundtrack"
Otis Redding,185,"music_artist,soundtrack,music_department"
Helen Reddy,160,"soundtrack,actress,composer"
Robert Redford,179,"producer,actor,director"
Corin Redgrave,187,"actor,soundtrack"
Jemma Redgrave,173,actress
Claudia Kim,177,actress
Gail Kim,160,"actress,producer"
John Harlan Kim,173,"actor,soundtrack"
Jimmy Kimmel,181,"writer,producer,soundtrack"
Joshua Kimmich,175,actor
Dani Kind,168,"actress,director,miscellaneous"
Chyler Leigh,169,"actress,producer,soundtrack"
Janet Leigh,165,"actress,soundtrack,producer"
Natasha Leigh,165,actress
Suzanna Leigh,164,"actress,soundtrack"
Vivien Leigh,160,"actress,soundtrack,writer"
Amanda Leighton,155,"actress,soundtrack,miscellaneous"
Laura Leighton,157,actress
Margaret Leighton,173,actress
Merit Leighton,165,"actress,music_department,soundtrack"
Lemar,183,"actor,soundtrack,music_department"
Alexxis Lemire,163,actress
Chris Lemmon,187,"actor,music_department,soundtrack"
Jack Lemmon,175,"actor,soundtrack,producer"
Lemmy,178,"soundtrack,actor,composer"
Don Lemon,179,"writer,producer,actor"
McKayla Maroney,161,actress
Constantine Maroulis,188,"actor,soundtrack,producer"
Ross Marquand,183,"actor,producer,miscellaneous"
Bruna Marquezine,170,actress
Otmara Marrero,167,"actress,producer"
Bruno Mars,163,"music_artist,soundtrack,actor"
Mick Mars,175,"soundtrack,actor,composer"
Eddie Marsan,172,"actor,soundtrack"
Faye Marsay,157,actress
James Marsden,177,"actor,soundtrack"
Jason Marsden,154,"actor,producer,director"
Matthew Marsden,189,"actor,producer,writer"
Jean Marsh,168,"actress,writer,miscellaneous"
Jodie Marsh,157,"actress,producer,miscellaneous"
Kym Marsh,163,"actress,soundtrack"
Michelle Marsh,168,"actress,miscellaneous"
Kimberly Perry,177,"soundtrack,actress,composer"
Luke Perry,181,"actor,producer,soundtrack"
Matthew Perry,170,"actor,producer,writer"
Steve Perry,168,"soundtrack,actor,composer"
Steve Perry,168,"writer,actor"
Steve Perry,168,"writer,actor"
Tyler Perry,187,"writer,director,producer"
William Perry,167,actor
Zoe Perry,170,"actress,miscellaneous"
Maria Perschy,170,actress
Nina Persson,188,"soundtrack,music_department,actress"
Jon Pertwee,182,"actor,writer,music_department"
Sean Pertwee,163,"actor,miscellaneous,director"
Joe Pesci,169,"actor,soundtrack"
Gabriella Pession,168,actress
Melissa Peterman,157,"actress,producer,writer"
Bernadette Peters,183,"actress,soundtrack"
Brock Peters,178,"actor,soundtrack,producer"
Clarke Peters,177,"actor,producer,soundtrack"
Evan Peters,166,"actor,producer,soundtrack"
Jean Peters,160,"actress,soundtrack"
Luan Peters,155,"actress,soundtrack"
Jason Behr,180,"actor,soundtrack"
Beth Behrs,165,"actress,soundtrack,writer"
Harry Belafonte,185,"music_artist,soundtrack,actor"
Shari Belafonte,162,"actress,camera_department,producer"
Jessica Belkin,165,"actress,miscellaneous"
Anna Belknap,160,actress
Ashley Bell,160,"actress,miscellaneous,director"
Catherine Bell,175,"actress,producer,soundtrack"
Coby Bell,188,"actor,producer"
Drake Bell,171,"actor,soundtrack,music_department"
Emma Bell,165,"actress,director,writer"
Geoff Bell,180,"actor,producer,director"
Jamie Bell,170,"actor,producer,soundtrack"
Jillian Bell,164,"actress,writer,producer"
John Bell,175,"actor,director,miscellaneous"
John Bell,175,actor
Kristen Bell,155,"actress,producer,soundtrack"
Duff Goldman,163,"producer,actor"
Jane Goldman,165,"producer,writer,soundtrack"
Renée Elise Goldsberry,170,"actress,soundtrack,miscellaneous"
Jenette Goldstein,157,actress
Bobcat Goldthwait,168,"director,actor,writer"
Tony Goldwyn,185,"actor,director,writer"
Bob Golic,188,"actor,producer,soundtrack"
Gage Golightly,170,"actress,writer"
Valeria Golino,166,"actress,director,producer"
Callie Thorne,159,"actress,producer"
Dani Thorne,168,"actress,writer,art_director"
Dominique Thorne,152,actress
Billy Bob Thornton,178,"actor,writer,soundtrack"
David Howard Thornton,185,actor
Frank Thornton,184,"actor,soundtrack"
Frank Thornton,184,actor
Kate Thornton,169,actress
Tiffany Thornton,163,"actress,writer,soundtrack"
Nicola Thorp,173,actress
Alexis Thorpe,170,actress
Linda Thorson,173,"actress,soundtrack"
David Threlfall,184,"actor,producer,director"
Malachi Throne,173,"actor,soundtrack"
Slim Thug,198,"soundtrack,actor,composer"
Greta Thunberg,149,"writer,actress,miscellaneous"
Nick Thune,192,"actor,writer,soundtrack"
Sigourney Weaver,180,"actress,soundtrack,producer"
Hugo Weaving,188,"actor,soundtrack,producer"
Samara Weaving,165,"actress,director,writer"
Bresha Webb,157,"actress,director,soundtrack"
Charley Webb,165,actress
Chloe Webb,162,"actress,soundtrack"
Clifton Webb,179,"actor,soundtrack"
Danny Webb,170,"actor,stunts"
Danny Webb,170,"actor,soundtrack,writer"
Danny Webb,170,actor
Jack Webb,178,"writer,actor,producer"
Danny DeVito,147,"actor,producer,director"
Lucy DeVito,147,"actress,producer,executive"
Torrey DeVitto,169,"actress,producer,soundtrack"
Devlin,183,"soundtrack,actor,writer"
Jenna Dewan,157,"actress,producer"
Tommy Dewey,180,"actor,writer,producer"
Joyce DeWitt,160,"actress,producer,soundtrack"
Rosemarie DeWitt,167,"actress,miscellaneous"
Noureen DeWulf,160,"actress,miscellaneous"
Brad Dexter,183,"actor,producer"
Michael Chang,172,"actor,soundtrack"
Carol Channing,174,"actress,soundtrack"
Stockard Channing,160,"actress,soundtrack"
Keshia Chante,159,"actress,miscellaneous,writer"
Ben Chaplin,178,"actor,soundtrack"
Oona Chaplin,169,"actress,miscellaneous"
Oona Chaplin,169,"actress,soundtrack"
Tom Chaplin,188,"soundtrack,actor,composer"
Connie Francis,155,"soundtrack,actress,music_department"
Genie Francis,165,actress
Jan Francis,156,"actress,soundtrack,miscellaneous"
Trevor Francis,179,actor
Dave Franco,167,"actor,producer,writer"
Eduardo Franco,186,"actor,soundtrack,producer"
James Franco,179,"actor,producer,director"
Jason David Frank,178,"actor,producer,soundtrack"
Bethenny Frankel,165,"producer,writer,miscellaneous"
Fabien Frankel,177,actor
Al Franken,168,"writer,producer,actor"
John Frankenheimer,191,"director,miscellaneous,producer"
Aretha Franklin,165,"music_artist,soundtrack,actress"
Amber Heard,170,"actress,producer,soundtrack"
John Heard,174,"actor,producer,soundtrack"
John Heard,174,"editorial_department,producer,production_manager"
Lydia Hearst,168,"actress,producer,writer"
Marla Heasley,165,actress
Bella Heathcote,168,actress
Erin Heatherton,179,actress
Charlie Heaton,173,actor
Patricia Heaton,157,"actress,producer,soundtrack"
James Landry Hébert,180,"actor,casting_department,writer"
Anne Heche,165,"actress,producer,writer"
Gina Hecht,160,"actress,producer,soundtrack"
Jessica Hecht,173,"actress,soundtrack"
Jamie Hector,184,"actor,producer,miscellaneous"
Ben Savage,174,"actor,producer,director"
Fred Savage,172,"actor,director,producer"
Randy Savage,184,actor
Telly Savalas,180,"actor,soundtrack,director"
Doug Savant,180,actor
Tom Savini,169,"actor,make_up_department,special_effects"
Danielle Savre,167,"actress,director,soundtrack"
Devon Sawa,179,"actor,producer,director"
Julia Sawalha,160,"actress,soundtrack"
Nadia Sawalha,165,"actress,producer"
Rina Sawayama,169,actress
Rina Sawayama,169,"actress,soundtrack,composer"
Diane Sawyer,174,"writer,miscellaneous,actress"
Hartley Sawyer,191,"actor,writer,stunts"
Lynn Redgrave,178,"actress,soundtrack"
Michael Redgrave,189,"actor,soundtrack,writer"
Steve Redgrave,193,actor
Vanessa Redgrave,180,"actress,soundtrack,producer"
Harry Redknapp,180,"soundtrack,actor"
Amanda Redman,170,"actress,soundtrack,miscellaneous"
Eddie Redmayne,181,"actor,soundtrack,producer"
Gabrielle Reece,190,"actress,producer"
Crystal Reed,171,actress
Crystal Reed,171,actress
Donna Reed,161,"actress,soundtrack"
Heida Reed,170,"actress,director,writer"
Jillian Rose Reed,156,"actress,soundtrack,director"
Lou Reed,173,"music_artist,soundtrack,actor"
Maxwell Reed,192,actor
Richard Kind,185,"actor,soundtrack,writer"
Andy Kindler,166,"actor,writer,producer"
Adrienne King,168,"actress,miscellaneous,producer"
Aja Naomi King,160,actress
Alison King,163,actress
Alison King,163,"director,producer"
Billie Jean King,163,"actress,producer,miscellaneous"
Candice King,170,"actress,soundtrack,producer"
Carole King,157,"music_artist,soundtrack,music_department"
Claire King,171,actress
Erik King,173,actor
Gayle King,177,"actress,producer,writer"
Georgia King,174,"actress,director,producer"
Hunter King,163,actress
Jaime King,173,"actress,producer,writer"
Joey King,157,"actress,producer,soundtrack"
Mollie King,163,actress
Mollie King,163,"actress,writer,soundtrack"
Regina King,160,"actress,director,producer"
Rowena King,168,actress
Shelley King,160,actress
Vanessa Lengies,156,"actress,soundtrack,producer"
John Lennon,178,"music_artist,soundtrack,composer"
Thomas Lennon,172,writer
Thomas Lennon,172,"actor,producer,writer"
Annie Lennox,173,"music_artist,soundtrack,actress"
Ari Lennox,168,"music_artist,soundtrack,actress"
Jay Leno,180,"producer,writer,actor"
Rula Lenska,173,"actress,music_department"
Bethany Joy Lenz,160,"actress,soundtrack,director"
Kay Lenz,157,"actress,producer,miscellaneous"
Melissa Leo,163,"actress,producer,executive"
Lyndsey Marshal,154,actress
Amber Marshall,164,"actress,producer,soundtrack"
James Marshall,173,"actor,soundtrack,producer"
Ken Marshall,185,actor
Ken Marshall,185,actor
Kris Marshall,188,"actor,producer"
Paula Marshall,168,"actress,camera_department,producer"
Penny Marshall,168,"actress,director,producer"
Penny Marshall,168,actress
William Marshall,196,"actor,soundtrack,director"
William Marshall,196,actor
William Marshall,196,cinematographer
William Marshall,196,"actor,producer,sound_department"
James Marsters,175,"actor,producer,writer"
Jaeden Martell,170,actor
Ian Marter,183,actor
Martika,164,"actress,soundtrack,composer"
Andrea Martin,160,"actress,writer,soundtrack"
Andrea Martin,160,"soundtrack,composer,actress"
Anna Maxwell Martin,168,"actress,soundtrack"
Charlotte Martin,160,"soundtrack,actress"
Maisie Peters,165,"music_department,soundtrack,actress"
Luvia Petersen,178,"actress,director,producer"
Pat Petersen,179,actor
William Petersen,166,"producer,actor"
Cassandra Peterson,185,"actress,producer,writer"
Seth Peterson,191,actor
Alistair Petrie,161,"actor,soundtrack,director"
Madelaine Petsch,170,"actress,soundtrack,producer"
Joanna Pettet,157,actress
Madison Pettis,169,"actress,soundtrack,miscellaneous"
Lori Petty,174,"actress,writer,producer"
Tom Petty,179,"music_artist,soundtrack,actor"
Alex Pettyfer,152,"actor,producer,director"
Jade Pettyjohn,175,actress
Michelle Pfeiffer,178,"actress,soundtrack,producer"
Jo Ann Pflug,157,actress
Liz Phair,152,"composer,music_department,soundtrack"
Lake Bell,171,"actress,writer,director"
Marshall Bell,185,actor
Tobin Bell,179,"actor,producer,director"
Tom Bell,175,actor
Zoë Bell,173,"stunts,actress,producer"
Laura Bell Bundy,164,"actress,soundtrack,director"
Rachael Bella,163,actress
Bill Bellamy,187,"actor,producer,writer"
Bill Bellamy,187,miscellaneous
Charlotte Bellamy,162,actress
Matthew Bellamy,170,"camera_department,director,producer"
Ralph Bellamy,184,"actor,soundtrack"
Joshua Gomez,170,"actor,producer,writer"
Michelle Gomez,163,"actress,music_department,soundtrack"
Selena Gomez,164,"music_artist,actress,music_department"
Xochitl Gomez,163,actress
Allie Gonino,163,"actress,music_department,composer"
Humberly González,163,"actress,director"
Jorge González,231,"soundtrack,actor,composer"
Uma Thurman,181,"actress,producer,soundtrack"
Chantal Thuy,167,"actress,producer"
Brenton Thwaites,182,"actor,director,producer"
Rachel Ticotin,170,"actress,miscellaneous"
Kim Tiddy,171,actress
Cheryl Tiegs,180,"actress,soundtrack"
Gene Tierney,166,"actress,soundtrack"
Lawrence Tierney,183,"actor,soundtrack"
Maura Tierney,157,"actress,soundtrack,producer"
Tiffany,164,"soundtrack,actress,composer"
Tiffany,164,actress
Tiffany,164,actress
Tiffany,164,actress
Tiffany,164,actress
Nell Tiger Free,170,actress
Gabriel Tigerman,171,"actor,writer,miscellaneous"
Kevin Tighe,185,"actor,director,stunts"
Lucas Till,176,"actor,producer"
Maurice Tillet,174,actor
Robert Webb,178,"assistant_director,production_manager"
Robert Webb,178,"actor,writer,producer"
Robert Webb,178,"casting_director,production_manager"
Spud Webb,166,actor
Veronica Webb,179,actress
Simon Webbe,180,"actor,soundtrack"
Mark Webber,180,"actor,producer,writer"
Mark Webber,180,"soundtrack,actor,music_department"
Mark Webber,180,"producer,actor"
Robert Webber,182,"actor,soundtrack"
Robert Webber,182,actor
Charlie Weber,177,actor
Jake Weber,185,"actor,soundtrack,director"
Stanley Weber,184,"actor,producer"
Steven Weber,183,"actor,producer,soundtrack"
Charlie Webster,177,"writer,producer"
Sally Dexter,163,actress
Susan Dey,170,"actress,producer"
Agyness Deyn,173,"actress,soundtrack"
Ayesha Dharker,157,actress
Dharmendra,178,"actor,producer,miscellaneous"
Caroline Dhavernas,157,"actress,producer,soundtrack"
Sacha Dhawan,170,"actor,producer"
Varun Dhawan,172,"actor,producer,writer"
Mandeep Dhillon,159,actress
Matt Di Angelo,178,actor
Chris Diamantopoulos,175,"actor,soundtrack,writer"
Anne Diamond,163,soundtrack
Anne Diamond,163,"actress,writer"
Dustin Diamond,182,"actor,soundtrack,director"
Graham Chapman,190,"writer,actor,soundtrack"
Kevin Chapman,170,"actor,producer,soundtrack"
Marguerite Chapman,170,"actress,soundtrack"
Sean Chapman,183,actor
Tracy Chapman,164,"music_artist,soundtrack,actress"
Ellise Chappell,167,actress
Lisa Chappell,173,actress
Dave Chappelle,180,"writer,producer,actor"
Cyd Charisse,168,"actress,soundtrack"
Craig Charles,170,"actor,soundtrack,writer"
Bonnie Franklin,160,"actress,director,soundtrack"
Bonnie Franklin,160,"miscellaneous,assistant"
Carl Franklin,179,"actor,director,writer"
David Franklin,175,"actor,soundtrack"
David Franklin,175,"actor,writer"
Diane Franklin,157,"actress,producer"
Kirk Franklin,163,"soundtrack,actor,producer"
Nelson Franklin,194,"actor,soundtrack,miscellaneous"
Pamela Franklin,152,actress
Richard Franklin,183,"director,producer,writer"
Richard Franklin,183,actor
Frankmusik,173,"soundtrack,actor,composer"
Philip Franks,180,"actor,director,writer"
Adrienne Frantz,163,"actress,soundtrack,sound_department"
Dennis Franz,177,"actor,writer,producer"
Peter Franzén,175,"actor,soundtrack,director"
Brendan Fraser,189,"actor,producer,soundtrack"
Dan Hedaya,175,"actor,soundtrack"
Jon Heder,184,"actor,producer,soundtrack"
Jennifer Hedger,178,actress
Lucas Hedges,180,"actor,soundtrack"
David Hedison,184,actor
Garrett Hedlund,187,"actor,soundtrack,producer"
Tippi Hedren,163,"actress,producer"
Briga Heelan,165,"actress,soundtrack"
Van Heflin,181,"actor,soundtrack"
Anne Hegerty,168,"actress,soundtrack"
Katherine Heigl,168,"actress,producer,soundtrack"
Amelia Heinle,175,actress
Parker Sawyers,193,"actor,sound_department"
John Saxon,179,"actor,director"
Leo Sayer,161,"soundtrack,actor,composer"
Alexei Sayle,178,"actor,writer,soundtrack"
John Sayles,193,"writer,actor,director"
Morgan Saylor,161,actress
Raphael Sbarge,177,"actor,producer,director"
Greta Scacchi,173,actress
Lorene Scafaria,157,"producer,writer,director"
Allison Scagliotti,164,"actress,director,soundtrack"
Gia Scala,173,actress
Prunella Scales,160,"actress,soundtrack"
Jack Scalia,184,"actor,producer"
Riccardo Scamarcio,177,"actor,producer,writer"
Joanna Scanlan,155,"actress,writer,producer"
Eliza Scanlen,161,"actress,director,writer"
Nikki Reed,163,"actress,soundtrack,producer"
Oliver Reed,180,"actor,soundtrack"
Norman Reedus,177,"actor,producer,soundtrack"
Roger Rees,180,"actor,director,soundtrack"
David Rees Snell,182,actor
Jacob Rees-Mogg,188,"actor,soundtrack"
Della Reese,173,"actress,soundtrack,writer"
Autumn Reeser,161,"actress,producer,soundtrack"
Christopher Reeve,192,"actor,producer,miscellaneous"
Simon Reeve,191,"writer,producer,actor"
George Reeves,187,"actor,director,soundtrack"
George Reeves,187,"writer,producer,production_manager"
Keanu Reeves,185,"actor,producer,soundtrack"
Stephen King,192,"writer,producer,actor"
Stephen King,192,actor
Ted King,182,actor
Michael Kingma,207,actor
Ben Kingsley,172,"actor,soundtrack,producer"
Ferdinand Kingsley,177,actor
Alex Kingston,171,"actress,soundtrack"
Kofi Kingston,180,"actor,soundtrack"
Sean Kingston,188,"soundtrack,actor,composer"
Kathleen Kinmont,178,"actress,producer,writer"
Joel Kinnaman,189,"actor,producer"
Valerie Leon,180,actress
Kawhi Leonard,198,actor
Lydia Leonard,165,"actress,soundtrack"
Sugar Ray Leonard,175,"actor,producer,stunts"
Sergio Leone,173,"assistant_director,writer,director"
Sunny Leone,163,"actress,director,producer"
Al Leong,168,"actor,stunts,director"
Georgina Leonidas,157,actress
Stephanie Leonidas,159,actress
Coi Leray,163,"actress,composer,soundtrack"
Logan Lerman,171,"actor,producer"
Michael Lerner,170,actor
Katrina Leskanich,178,"actress,soundtrack"
Chris Martin,186,location_management
Chris Martin,186,"music_artist,soundtrack,actor"
Chris Martin,186,actor
Dean Martin,178,"music_artist,soundtrack,actor"
Demetri Martin,180,"actor,writer,producer"
James Martin,188,actor
Jill Martin,168,actress
Kellie Martin,157,"actress,producer,director"
Madeleine Martin,155,"actress,soundtrack"
Marsai Martin,152,"actress,producer,soundtrack"
Max Martin,173,"soundtrack,composer,producer"
Meaghan Martin,164,"actress,soundtrack,producer"
Jay Pharoah,165,"actor,producer,soundtrack"
Chrystee Pharris,189,"actress,miscellaneous,producer"
Camilla Belle,171,"actress,soundtrack,producer"
Kathleen Beller,159,actress
Tony Bellew,189,actor
Jude Bellingham,186,actor
Lynda Bellingham,163,"actress,producer"
Alexis Bellino,170,actress
Troian Bellisario,170,"actress,director,writer"
Gina Bellman,170,actress
Maria Bello,165,"actress,producer,writer"
Gil Bellows,178,"actor,producer,director"
Monica Bellucci,170,"actress,soundtrack"
Pamela Bellwood,163,actress
Nicholas Gonzalez,170,"actor,producer"
Rick Gonzalez,173,actor
Julie Gonzalo,173,"actress,producer,soundtrack"
Meagan Good,157,"actress,producer,director"
Jedidiah Goodacre,173,actor
Caroline Goodall,173,"actress,producer,writer"
Matthew Goode,187,actor
Celia Rose Gooding,163,"actress,producer"
Mason Gooding,183,"actor,miscellaneous"
Omar Gooding,183,"actor,producer,soundtrack"
John Goodman,188,"actor,soundtrack,producer"
Len Goodman,184,"actor,production_manager"
Tom Goodman-Hill,183,"actor,producer,soundtrack"
