name,gender,occupation,height,details
john nettles,male,"{""actor"", ""writer""}",178.0,"{""net_worth"": 10000000.0, ""birthday"": ""1943-10-11"", ""age"": 79.0, ""is_alive"": 1.0, ""death"": null}"
john mayer,male,"{""musician"", ""singer-songwriter"", ""guitarist"", ""record_producer"", ""comedian"", ""artist"", ""actor"", ""graphic_designer"", ""visual_artist"", ""music_artist""}",191.0,"{""net_worth"": 70000000.0, ""birthday"": ""1977-10-16"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
john oates,male,"{""singer"", ""guitarist"", ""musician"", ""songwriter"", ""record_producer""}",164.0,"{""net_worth"": 60000000.0, ""birthday"": ""1949-04-07"", ""age"": 74.0, ""is_alive"": 1.0, ""death"": null}"
john payne,male,"{""actor"", ""singer"", ""television_producer"", ""screenwriter""}",182.0,"{""net_worth"": 50000000.0, ""birthday"": ""1912-05-23"", ""age"": 77.0, ""is_alive"": 0.0, ""death"": ""1989-12-06""}"
john oliver,male,"{""actor"", ""screenwriter"", ""comedian"", ""television_producer"", ""voice_actor""}",183.0,"{""net_worth"": 30000000.0, ""birthday"": ""1977-04-23"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
john o'hurley,male,"{""actor"", ""voice_actor"", ""tv_personality"", ""game_show_host"", ""author"", ""performer"", ""presenter"", ""singer"", ""pianist"", ""composer""}",189.0,"{""net_worth"": 12000000.0, ""birthday"": ""1954-10-09"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
john rhys-davies,male,"{""actor"", ""voice_actor"", ""screenwriter""}",185.0,"{""net_worth"": 5000000.0, ""birthday"": ""1944-05-05"", ""age"": 79.0, ""is_alive"": 1.0, ""death"": null}"
john ritter,male,"{""comedian"", ""actor"", ""voice_actor""}",180.0,"{""net_worth"": 20000000.0, ""birthday"": ""1948-09-17"", ""age"": 54.0, ""is_alive"": 0.0, ""death"": ""2003-09-11""}"
john pinette,male,"{""comedian"", ""actor"", ""screenwriter""}",178.0,"{""net_worth"": 100000.0, ""birthday"": ""1964-03-23"", ""age"": 50.0, ""is_alive"": 0.0, ""death"": ""2014-04-05""}"
john ratzenberger,male,"{""actor"", ""television_director"", ""voice_actor"", ""entrepreneur"", ""screenwriter"", ""film_producer""}",175.0,"{""net_worth"": 50000000.0, ""birthday"": ""1947-04-06"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
john saxon,male,"{""actor""}",179.0,"{""net_worth"": 1500000.0, ""birthday"": ""1935-08-05"", ""age"": 84.0, ""is_alive"": 0.0, ""death"": ""2020-07-25""}"
john singleton,male,"{""screenwriter"", ""film_director"", ""film_producer"", ""actor"", ""television_producer""}",168.0,"{""net_worth"": 35000000.0, ""birthday"": ""1968-01-06"", ""age"": 51.0, ""is_alive"": 0.0, ""death"": ""2019-04-29""}"
john schneider,male,"{""actor"", ""singer"", ""television_producer"", ""television_director"", ""screenwriter"", ""film_producer"", ""stunt_performer"", ""film_editor"", ""activist"", ""voice_actor""}",191.0,"{""net_worth"": 200000.0, ""birthday"": ""1960-04-08"", ""age"": 63.0, ""is_alive"": 1.0, ""death"": null}"
john stamos,male,"{""actor"", ""television_producer"", ""singer"", ""musician"", ""songwriter"", ""film_producer""}",182.0,"{""net_worth"": 25000000.0, ""birthday"": ""1963-08-19"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
nigel john taylor,male,"{""actor"", ""musician"", ""songwriter"", ""bassist"", ""record_producer""}",187.0,"{""net_worth"": 30000000.0, ""birthday"": ""1960-06-20"", ""age"": 63.0, ""is_alive"": 1.0, ""death"": null}"
john shea,male,"{""actor"", ""film_director"", ""voice_actor"", ""screenwriter""}",184.0,"{""net_worth"": 5000000.0, ""birthday"": ""1949-04-14"", ""age"": 74.0, ""is_alive"": 1.0, ""death"": null}"
john slattery,male,"{""actor"", ""television_director"", ""voice_actor"", ""screenwriter"", ""film_director""}",178.0,"{""net_worth"": 10000000.0, ""birthday"": ""1962-08-13"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
john terry,male,"{""football_player""}",187.0,"{""net_worth"": 70000000.0, ""birthday"": ""1980-12-07"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
john travolta,male,"{""actor"", ""singer"", ""dancer"", ""voice_actor"", ""film_producer""}",188.0,"{""net_worth"": 250000000.0, ""birthday"": ""1954-02-18"", ""age"": 69.0, ""is_alive"": 1.0, ""death"": null}"
john turturro,male,"{""actor"", ""film_director"", ""screenwriter"", ""voice_actor"", ""film_producer"", ""writer""}",184.0,"{""net_worth"": 24000000.0, ""birthday"": ""1957-02-28"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
john waters,male,"{""film_director"", ""film_producer"", ""screenwriter"", ""actor"", ""writer"", ""visual_artist"", ""stand-up_comedian"", ""cinematographer"", ""voice_actor"", ""film_editor""}",188.0,"{""net_worth"": 50000000.0, ""birthday"": ""1946-04-22"", ""age"": 77.0, ""is_alive"": 1.0, ""death"": null}"
john wesley shipp,male,"{""actor""}",185.0,"{""net_worth"": 2000000.0, ""birthday"": ""1955-01-22"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
johnny carson,male,"{""comedian"", ""actor"", ""screenwriter"", ""presenter""}",177.0,"{""net_worth"": 300000000.0, ""birthday"": ""1925-10-23"", ""age"": 79.0, ""is_alive"": 0.0, ""death"": ""2005-01-23""}"
johnny cash,male,"{""songwriter"", ""singer"", ""actor"", ""musician"", ""singer-songwriter"", ""author""}",187.0,"{""net_worth"": 60000000.0, ""birthday"": ""1932-02-26"", ""age"": 71.0, ""is_alive"": 0.0, ""death"": ""2003-09-12""}"
john williams,male,"{""composer"", ""pianist"", ""conductor"", ""film_score_composer""}",182.0,"{""net_worth"": 300000000.0, ""birthday"": ""1932-02-08"", ""age"": 91.0, ""is_alive"": 1.0, ""death"": null}"
johnny crawford,male,"{""actor"", ""singer"", ""musician"", ""bandleader""}",173.0,"{""net_worth"": 500000.0, ""birthday"": ""1946-03-26"", ""age"": 77.0, ""is_alive"": 1.0, ""death"": null}"
johnny depp,male,"{""actor"", ""film_producer"", ""musician"", ""film_director"", ""screenwriter"", ""voice_actor"", ""restaurateur"", ""winemaker""}",178.0,"{""net_worth"": 150000000.0, ""birthday"": ""1963-06-09"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
johnny galecki,male,"{""actor""}",165.0,"{""net_worth"": 100000000.0, ""birthday"": ""1975-04-30"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
johnny simmons,male,"{""actor""}",178.0,"{""net_worth"": 1000000.0, ""birthday"": ""1986-11-28"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
johnny lever,male,"{""comedian"", ""actor""}",175.0,"{""net_worth"": 30000000.0, ""birthday"": ""1957-08-14"", ""age"": 65.0, ""is_alive"": 1.0, ""death"": null}"
johnny knoxville,male,"{""actor"", ""comedian"", ""television_producer"", ""screenwriter"", ""stunt_performer"", ""film_producer"", ""voice_actor""}",185.0,"{""net_worth"": 75000000.0, ""birthday"": ""1971-03-11"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
johnny weissmuller,male,"{""swimmer"", ""actor""}",191.0,"{""net_worth"": 2000000.0, ""birthday"": ""1904-06-02"", ""age"": 79.0, ""is_alive"": 0.0, ""death"": ""1984-01-20""}"
johnny vegas,male,"{""actor"", ""comedian"", ""screenwriter"", ""television_producer""}",170.0,"{""net_worth"": 10000000.0, ""birthday"": ""1970-09-05"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
jolene blalock,female,"{""actor"", ""model""}",170.0,"{""net_worth"": 30000000.0, ""birthday"": ""1975-03-05"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
jon anderson,male,"{""musician"", ""singer-songwriter"", ""composer"", ""multi-instrumentalist""}",165.0,"{""net_worth"": 12000000.0, ""birthday"": ""1944-10-25"", ""age"": 78.0, ""is_alive"": 1.0, ""death"": null}"
jon bernthal,male,"{""actor""}",178.0,"{""net_worth"": 10000000.0, ""birthday"": ""1976-09-20"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
jon bon jovi,male,"{""singer"", ""actor"", ""songwriter"", ""musician"", ""record_producer"", ""composer""}",178.0,"{""net_worth"": 410000000.0, ""birthday"": ""1962-03-02"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
jon cryer,male,"{""actor"", ""film_producer"", ""screenwriter"", ""television_director"", ""film_director"", ""voice_actor""}",175.0,"{""net_worth"": 70000000.0, ""birthday"": ""1965-04-16"", ""age"": 58.0, ""is_alive"": 1.0, ""death"": null}"
jon favreau,male,"{""actor"", ""film_producer"", ""comedian"", ""television_director"", ""film_director"", ""voice_actor"", ""screenwriter"", ""television_producer""}",183.0,"{""net_worth"": 100000000.0, ""birthday"": ""1966-10-19"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
jon gries,male,"{""actor"", ""film_director"", ""film_producer"", ""voice_actor""}",180.0,"{""net_worth"": 2000000.0, ""birthday"": ""1957-06-17"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
jon hamm,male,"{""actor"", ""television_producer"", ""television_director"", ""film_director"", ""voice_actor"", ""comedian""}",188.0,"{""net_worth"": 40000000.0, ""birthday"": ""1971-03-10"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
jon heder,male,"{""actor"", ""voice_actor"", ""film_producer"", ""comedian""}",185.0,"{""net_worth"": 15000000.0, ""birthday"": ""1977-10-26"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
jon lovitz,male,"{""comedian"", ""actor"", ""singer"", ""voice_actor"", ""businessperson""}",178.0,"{""net_worth"": 12000000.0, ""birthday"": ""1957-07-21"", ""age"": 65.0, ""is_alive"": 1.0, ""death"": null}"
jon seda,male,"{""actor""}",173.0,"{""net_worth"": 5000000.0, ""birthday"": ""1970-10-14"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
jon tenney,male,"{""actor""}",185.0,"{""net_worth"": 6000000.0, ""birthday"": ""1961-12-16"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
jon voight,male,"{""actor"", ""film_producer"", ""screenwriter""}",189.0,"{""net_worth"": 55000000.0, ""birthday"": ""1938-12-29"", ""age"": 84.0, ""is_alive"": 1.0, ""death"": null}"
jonah hill,male,"{""actor"", ""comedian"", ""film_producer"", ""screenwriter"", ""voice_actor"", ""writer""}",170.0,"{""net_worth"": 50000000.0, ""birthday"": ""1983-12-20"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
jonah lomu,male,"{""rugby_player""}",196.0,"{""net_worth"": 2000000.0, ""birthday"": ""1975-05-12"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
jon stewart,male,"{""comedian"", ""actor"", ""television_producer"", ""screenwriter"", ""journalist"", ""commentator"", ""critic"", ""film_producer"", ""talk_show_host"", ""writer""}",169.0,"{""net_worth"": 120000000.0, ""birthday"": ""1962-11-28"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
jonathan davis,male,"{""singer"", ""musician"", ""record_producer"", ""songwriter"", ""actor"", ""disc_jockey""}",188.0,"{""net_worth"": 50000000.0, ""birthday"": ""1971-01-18"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
jonathan bennett,male,"{""actor"", ""film_producer""}",188.0,"{""net_worth"": 1000000.0, ""birthday"": ""1981-06-10"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
jonathan brandis,male,"{""actor"", ""screenwriter"", ""film_director""}",175.0,"{""net_worth"": 400000.0, ""birthday"": ""1976-04-13"", ""age"": 27.0, ""is_alive"": 0.0, ""death"": ""2003-11-12""}"
jonathan frakes,male,"{""film_director"", ""actor"", ""author"", ""television_producer"", ""television_director"", ""voice_actor""}",193.0,"{""net_worth"": 25000000.0, ""birthday"": ""1952-08-19"", ""age"": 70.0, ""is_alive"": 1.0, ""death"": null}"
jonathan pryce,male,"{""actor"", ""singer"", ""salesman"", ""voice_actor"", ""film_score_composer""}",183.0,"{""net_worth"": 5000000.0, ""birthday"": ""1947-06-01"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
jonathan rhys meyers,male,"{""actor"", ""model"", ""singer""}",178.0,"{""net_worth"": 8000000.0, ""birthday"": ""1977-07-27"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
jonathan groff,male,"{""actor"", ""singer-songwriter""}",180.0,"{""net_worth"": 5000000.0, ""birthday"": ""1985-03-26"", ""age"": 38.0, ""is_alive"": 1.0, ""death"": null}"
jonathan ross,male,"{""presenter"", ""film_critic"", ""actor"", ""television_producer"", ""comedian"", ""tv_personality"", ""screenwriter"", ""writer"", ""author"", ""voice_actor""}",186.0,"{""net_worth"": 35000000.0, ""birthday"": ""1960-11-17"", ""age"": 62.0, ""is_alive"": 1.0, ""death"": null}"
jonathan lipnicki,male,"{""actor"", ""film_producer""}",170.0,"{""net_worth"": 5000000.0, ""birthday"": ""1990-10-22"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
jonathan taylor thomas,male,"{""actor"", ""voice_actor""}",165.0,"{""net_worth"": 16000000.0, ""birthday"": ""1981-09-08"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
jonathan togo,male,"{""actor"", ""musician""}",175.0,"{""net_worth"": 8000000.0, ""birthday"": ""1977-08-25"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
jonathan tucker,male,"{""actor""}",178.0,"{""net_worth"": 2000000.0, ""birthday"": ""1982-05-31"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
jonathan silverman,male,"{""actor"", ""voice_actor"", ""film_producer""}",184.0,"{""net_worth"": 3000000.0, ""birthday"": ""1966-08-05"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
jonathan wilkes,male,"{""presenter"", ""singer"", ""actor""}",188.0,"{""net_worth"": 10000000.0, ""birthday"": ""1978-08-01"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
jonathan winters,male,"{""comedian"", ""actor"", ""voice_actor"", ""artist"", ""screenwriter"", ""author"", ""painter"", ""soldier""}",177.0,"{""net_worth"": 5000000.0, ""birthday"": ""1925-11-11"", ""age"": 87.0, ""is_alive"": 0.0, ""death"": ""2013-04-11""}"
jonny lee miller,male,"{""actor""}",180.0,"{""net_worth"": 14000000.0, ""birthday"": ""1972-11-15"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
jonny wilkinson,male,"{""rugby_player""}",177.0,"{""net_worth"": 21000000.0, ""birthday"": ""1979-05-25"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
jordan hinson,female,"{""actor""}",163.0,"{""net_worth"": 300000.0, ""birthday"": ""1991-06-04"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
jordan ladd,female,"{""actor""}",152.0,"{""net_worth"": 1000000.0, ""birthday"": ""1975-01-14"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
jordan peele,male,"{""comedian"", ""actor"", ""screenwriter"", ""television_producer"", ""musician"", ""lyricist""}",175.0,"{""net_worth"": 50000000.0, ""birthday"": ""1979-02-21"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
jordan pruitt,female,"{""singer"", ""singer-songwriter""}",155.0,"{""net_worth"": 1500000.0, ""birthday"": ""1991-05-19"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
jordan spieth,male,"{""golfer""}",185.0,"{""net_worth"": 110000000.0, ""birthday"": ""1993-07-27"", ""age"": 29.0, ""is_alive"": 1.0, ""death"": null}"
jordana brewster,female,"{""actor""}",170.0,"{""net_worth"": 25000000.0, ""birthday"": ""1980-04-26"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
jordin sparks,female,"{""singer"", ""model"", ""singer-songwriter"", ""guitarist"", ""musician"", ""actor"", ""artist"", ""music_artist""}",183.0,"{""net_worth"": 8000000.0, ""birthday"": ""1989-12-22"", ""age"": 33.0, ""is_alive"": 1.0, ""death"": null}"
jordi alba,male,"{""football_player""}",170.0,"{""net_worth"": 16000000.0, ""birthday"": ""1989-03-21"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
jorge garcia,male,"{""actor"", ""comedian""}",183.0,"{""net_worth"": 5000000.0, ""birthday"": ""1973-04-28"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
jorja fox,female,"{""actor"", ""songwriter"", ""musician"", ""model""}",178.0,"{""net_worth"": 6000000.0, ""birthday"": ""1968-07-07"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
jose ferrer,male,"{""actor"", ""film_director"", ""theatre_director""}",178.0,"{""net_worth"": 5000000.0, ""birthday"": ""1912-01-08"", ""age"": 80.0, ""is_alive"": 0.0, ""death"": ""1992-01-26""}"
jose mourinho,male,"{""football_player"", ""coach"", ""manager""}",175.0,"{""net_worth"": 120000000.0, ""birthday"": ""1963-01-26"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
jorma taccone,male,"{""actor"", ""television_director"", ""television_producer"", ""musician"", ""screenwriter"", ""film_score_composer"", ""film_producer"", ""lyricist""}",173.0,"{""net_worth"": 7000000.0, ""birthday"": ""1977-03-19"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
jose ferrer,male,"{""actor"", ""film_director"", ""theatre_director""}",178.0,"{""net_worth"": 5000000.0, ""birthday"": ""1912-01-08"", ""age"": 80.0, ""is_alive"": 0.0, ""death"": ""1992-01-26""}"
joseph gordon-levitt,male,"{""actor"", ""film_director"", ""theatrical_producer"", ""screenwriter"", ""film_producer"", ""entrepreneur"", ""film_editor""}",176.0,"{""net_worth"": 35000000.0, ""birthday"": ""1981-02-17"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
joseph marcell,male,"{""actor""}",170.0,"{""net_worth"": 2500000.0, ""birthday"": ""1948-08-18"", ""age"": 74.0, ""is_alive"": 1.0, ""death"": null}"
joseph mazzello,male,"{""actor""}",175.0,"{""net_worth"": 3000000.0, ""birthday"": ""1983-09-21"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
joseph fiennes,male,"{""actor"", ""voice_actor""}",183.0,"{""net_worth"": 10000000.0, ""birthday"": ""1970-05-27"", ""age"": 53.0, ""is_alive"": 1.0, ""death"": null}"
joseph morgan,male,"{""actor"", ""model"", ""film_producer""}",180.0,"{""net_worth"": 3000000.0, ""birthday"": ""1981-05-16"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
josh dallas,male,"{""actor""}",185.0,"{""net_worth"": 3000000.0, ""birthday"": ""1981-12-18"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
josh brolin,male,"{""actor"", ""stock_trader"", ""film_producer""}",179.0,"{""net_worth"": 45000000.0, ""birthday"": ""1968-02-12"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
josh duhamel,male,"{""actor"", ""model""}",192.0,"{""net_worth"": 18000000.0, ""birthday"": ""1972-11-14"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
josh gates,male,"{""photographer"", ""presenter"", ""actor""}",187.0,"{""net_worth"": 3000000.0, ""birthday"": ""1977-08-10"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
josh charles,male,"{""actor""}",180.0,"{""net_worth"": 8000000.0, ""birthday"": ""1971-09-15"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
josh cooke,male,"{""actor""}",178.0,"{""net_worth"": 1000000.0, ""birthday"": ""1979-11-22"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
josh groban,male,"{""singer"", ""singer-songwriter"", ""actor"", ""record_producer"", ""musician"", ""artist"", ""music_artist""}",180.0,"{""net_worth"": 30000000.0, ""birthday"": ""1981-02-27"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
josh hamilton,male,"{""baseball_player"", ""athlete""}",193.0,"{""net_worth"": 50000000.0, ""birthday"": ""1981-05-21"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
josh hartnett,male,"{""actor"", ""film_producer""}",191.0,"{""net_worth"": 25000000.0, ""birthday"": ""1978-07-21"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
josh henderson,male,"{""actor"", ""singer"", ""model""}",180.0,"{""net_worth"": 2500000.0, ""birthday"": ""1981-10-25"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
josh holloway,male,"{""actor"", ""model""}",187.0,"{""net_worth"": 22000000.0, ""birthday"": ""1969-07-20"", ""age"": 53.0, ""is_alive"": 1.0, ""death"": null}"
josh homme,male,"{""record_producer"", ""musician"", ""drummer"", ""guitarist"", ""composer"", ""actor"", ""multi-instrumentalist"", ""singer-songwriter""}",193.0,"{""net_worth"": 10000000.0, ""birthday"": ""1973-05-17"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
josh mcdermitt,male,"{""actor""}",183.0,"{""net_worth"": 4000000.0, ""birthday"": ""1978-06-04"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
josh peck,male,"{""actor"", ""comedian"", ""voice_actor""}",183.0,"{""net_worth"": 9000000.0, ""birthday"": ""1986-11-10"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
josh hutcherson,male,"{""actor""}",170.0,"{""net_worth"": 20000000.0, ""birthday"": ""1992-10-12"", ""age"": 30.0, ""is_alive"": 1.0, ""death"": null}"
josh kelley,male,"{""singer-songwriter"", ""musician"", ""actor"", ""songwriter"", ""singer""}",188.0,"{""net_worth"": 5000000.0, ""birthday"": ""1980-01-30"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
josh lucas,male,"{""actor"", ""film_producer"", ""cinematographer"", ""voice_actor""}",182.0,"{""net_worth"": 8000000.0, ""birthday"": ""1971-06-20"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
josh radnor,male,"{""actor"", ""film_director"", ""screenwriter""}",183.0,"{""net_worth"": 30000000.0, ""birthday"": ""1974-07-29"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
josh ramsay,male,"{""songwriter"", ""singer"", ""musician"", ""record_producer"", ""actor"", ""recording_engineer""}",188.0,"{""net_worth"": 6000000.0, ""birthday"": ""1985-06-11"", ""age"": 38.0, ""is_alive"": 1.0, ""death"": null}"
joshua jackson,male,"{""actor""}",188.0,"{""net_worth"": 12000000.0, ""birthday"": ""1978-06-11"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
josie davis,female,"{""actor"", ""screenwriter""}",169.0,"{""net_worth"": 1000000.0, ""birthday"": ""1973-01-16"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
joshua malina,male,"{""actor"", ""screenwriter"", ""television_producer""}",175.0,"{""net_worth"": 1500000.0, ""birthday"": ""1966-01-17"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
josie bissett,female,"{""actor"", ""model"", ""author""}",170.0,"{""net_worth"": 3000000.0, ""birthday"": ""1970-10-05"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
josie maran,female,"{""model"", ""actor"", ""entrepreneur""}",170.0,"{""net_worth"": 10000000.0, ""birthday"": ""1978-05-08"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
joss stone,female,"{""singer-songwriter"", ""actor"", ""musician""}",178.0,"{""net_worth"": 8000000.0, ""birthday"": ""1987-04-11"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
joss whedon,male,"{""screenwriter"", ""television_director"", ""television_producer"", ""film_producer"", ""film_director"", ""cartoonist"", ""novelist"", ""actor"", ""writer"", ""comic_book_creator""}",178.0,"{""net_worth"": 100000000.0, ""birthday"": ""1964-06-23"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
jourdan dunn,female,"{""model"", ""supermodel""}",179.0,"{""net_worth"": 13000000.0, ""birthday"": ""1990-08-03"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
joy behar,female,"{""comedian"", ""actor"", ""writer"", ""presenter"", ""talk_show_host"", ""voice_actor""}",167.0,"{""net_worth"": 30000000.0, ""birthday"": ""1942-10-07"", ""age"": 80.0, ""is_alive"": 1.0, ""death"": null}"
joy bryant,female,"{""actor"", ""model""}",175.0,"{""net_worth"": 2000000.0, ""birthday"": ""1974-10-18"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
joyce giraud,female,"{""actor"", ""model""}",175.0,"{""net_worth"": 10000000.0, ""birthday"": ""1975-04-04"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
joyce dewitt,female,"{""actor""}",161.0,"{""net_worth"": 4000000.0, ""birthday"": ""1949-04-23"", ""age"": 74.0, ""is_alive"": 1.0, ""death"": null}"
juanes,male,"{""singer-songwriter"", ""musician""}",172.0,"{""net_worth"": 20000000.0, ""birthday"": ""1972-08-09"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
judd apatow,male,"{""film_producer"", ""film_director"", ""screenwriter"", ""television_producer"", ""television_director"", ""actor"", ""voice_actor"", ""comedian""}",174.0,"{""net_worth"": 150000000.0, ""birthday"": ""1967-12-06"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
judd hirsch,male,"{""actor""}",183.0,"{""net_worth"": 12000000.0, ""birthday"": ""1935-03-15"", ""age"": 88.0, ""is_alive"": 1.0, ""death"": null}"
judd nelson,male,"{""actor"", ""screenwriter"", ""film_producer""}",178.0,"{""net_worth"": 4000000.0, ""birthday"": ""1959-11-28"", ""age"": 63.0, ""is_alive"": 1.0, ""death"": null}"
juan martin del potro,male,"{""tennis_player""}",198.0,"{""net_worth"": 20000000.0, ""birthday"": ""1988-09-23"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
juan luis guerra,male,"{""singer"", ""composer"", ""songwriter"", ""musician"", ""record_producer"", ""guitarist"", ""music_arranger"", ""actor"", ""pianist"", ""singer-songwriter""}",200.0,"{""net_worth"": 45000000.0, ""birthday"": ""1957-06-07"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
judge reinhold,male,"{""actor"", ""voice_actor""}",188.0,"{""net_worth"": 5000000.0, ""birthday"": ""1957-05-21"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
jude law,male,"{""actor"", ""film_producer""}",182.0,"{""net_worth"": 45000000.0, ""birthday"": ""1972-12-29"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
judi dench,female,"{""actor"", ""author"", ""voice_actor"", ""theatre_director"", ""musician""}",155.0,"{""net_worth"": 45000000.0, ""birthday"": ""1934-12-09"", ""age"": 88.0, ""is_alive"": 1.0, ""death"": null}"
judie aronson,female,"{""actor""}",165.0,"{""net_worth"": 800000.0, ""birthday"": ""1964-06-07"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
judith light,female,"{""actor""}",170.0,"{""net_worth"": 16000000.0, ""birthday"": ""1949-02-09"", ""age"": 74.0, ""is_alive"": 1.0, ""death"": null}"
judith hoag,female,"{""actor""}",170.0,"{""net_worth"": 4000000.0, ""birthday"": ""1968-06-29"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
judy davis,female,"{""actor""}",165.0,"{""net_worth"": 5000000.0, ""birthday"": ""1955-04-23"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
judy gold,female,"{""comedian"", ""actor"", ""screenwriter"", ""television_producer""}",191.0,"{""net_worth"": 3000000.0, ""birthday"": ""1962-11-15"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
